"","Year","President","Sentences"
"1",2023,"Ramaphosa","Speaker of the National Assembly, Ms Nosiviwe Mapisa-Nqakula,  Chairperson of the National Council of Provinces, Mr Amos Masondo,  Deputy President David Mabuza,  The Executive Mayor of the City of Cape Town, Mr Geordin Hill-Lewis,  Former President Thabo Mbeki,   Former Deputy President Baleka Mbete,  President of the Pan African Parliament, The Right Honourable Chief Fortune Charumbira,  Chief Justice Raymond Zondo and Members of the Judiciary,  Heads of Institutions Supporting Democracy,  Deputy President of the governing party, Mr Paul Mashatile and leaders of all parties,  Members of Parliament,  Fellow South Africans,      It is a great honour to stand before you this evening to present the State of the Nation.     "
"2",2023,"Ramaphosa","For we are a nation defined not by the oceans and rivers that form the boundaries of our land.     "
"3",2023,"Ramaphosa","We are not defined by the minerals under our earth or the spectacular landscape above it. "
"4",2023,"Ramaphosa","We are not even defined by the languages we speak or the songs we sing or the work we do.     "
"5",2023,"Ramaphosa","We are, at our most essential, a nation defined by hope and resilience.     "
"6",2023,"Ramaphosa","It was hope that sustained our struggle for freedom, and it is hope that swells our sails as we steer our country out of turbulent waters to calmer seas.     "
"7",2023,"Ramaphosa","Even in these trying times, it is hope that sustains us and fuels our determination to overcome even the greatest of difficulties.     "
"8",2023,"Ramaphosa","Just three years ago, our country was devastated by the worst global pandemic in living memory. "
"9",2023,"Ramaphosa","Thousands of lives were lost, companies closed, jobs were lost.     "
"10",2023,"Ramaphosa","COVID-19 did not browbeat us into submission or disillusionment.    "
"11",2023,"Ramaphosa","Working together, we overcame that crisis, and we have started to recover.     "
"12",2023,"Ramaphosa","Today our economy is larger than it was before the pandemic.    "
"13",2023,"Ramaphosa","Between the third quarters of 2021 and 2022, around one and a half million new jobs were created in our economy.      "
"14",2023,"Ramaphosa","The Presidential Employment Stimulus has provided work and livelihood opportunities to more than one million people.     "
"15",2023,"Ramaphosa","Last year, our matriculants defied the effects of the pandemic to achieve a pass rate of 80% and we congratulate them for that great achievement.    "
"16",2023,"Ramaphosa","We see this spirit of determination in our artists, musicians, actors, authors and sportsmen and women, who are making waves at home, on the continent and beyond our shores.     "
"17",2023,"Ramaphosa","Banyana Banyana made us proud when they won the Women’s Africa Cup of Nations to become the champions of Africa.     "
"18",2023,"Ramaphosa","Zakes Bantwini, Nomcebo Zikode and Wouter Kellerman have made us proud at the Grammy Awards for their collaboration, Bayethe.     "
"19",2023,"Ramaphosa","What we have achieved as a nation over the past year, despite our challenges, remind us that the promise of South Africa is alive.      "
"20",2023,"Ramaphosa","The progress we have seen should give us courage as we look to a better future.     "
"21",2023,"Ramaphosa","And yet, I address you this evening, in homes across the country, many people are suffering, many are worried, many are uncertain and many are without hope.     "
"22",2023,"Ramaphosa","But of this I am certain. "
"23",2023,"Ramaphosa","Whatever the difficulties of the moment, whatever crises we face, we will rise to meet them together and, together, we will overcome them.     "
"24",2023,"Ramaphosa","This, we will be able to do if we work together and leave no one behind.    "
"25",2023,"Ramaphosa","We gather here at a time of crisis.     "
"26",2023,"Ramaphosa","Our country has, for many months, endured a debilitating electricity shortage that has caused immense damage to our economy.      "
"27",2023,"Ramaphosa","And for two years before that, our society was devastated by the COVID-19 pandemic that caused great loss of life and much hardship.     "
"28",2023,"Ramaphosa","The pandemic worsened a situation of deep unemployment, as the country lost two million jobs. "
"29",2023,"Ramaphosa","The pandemic negatively affected livelihoods and increased poverty.      "
"30",2023,"Ramaphosa","In July 2021, we experienced the worst public violence and destruction in the history of our democracy, causing over 300 deaths.     "
"31",2023,"Ramaphosa","Last year, parts of the Eastern Cape, KwaZulu-Natal and North West were struck by catastrophic flooding that caused extensive loss of life, the destruction of homes and damage to infrastructure.     "
"32",2023,"Ramaphosa","And now, persistent load-shedding is impeding our recovery from the effects of these events.      "
"33",2023,"Ramaphosa","We know that without a reliable supply of electricity, businesses cannot grow, assembly lines cannot run, crops cannot be irrigated and basic services are interrupted.     "
"34",2023,"Ramaphosa","Load-shedding means that households and supermarkets are unable to keep food fresh, water supply is often disrupted, traffic lights do not work and streets are not lit at night.     "
